regal_code,year_month,time,status
11215,202008,2023-05-07 13:29:57,success
11215,202009,2023-05-07 13:29:58,success
11215,202010,2023-05-07 13:30:00,success
11215,202011,2023-05-07 13:30:01,success
11215,202012,2023-05-07 13:30:02,success
11215,202101,2023-05-07 13:30:03,success
11215,202102,2023-05-07 13:30:04,success
11215,202103,2023-05-07 13:30:06,success
11215,202104,2023-05-07 13:30:07,success
11215,202105,2023-05-07 13:30:08,success
11215,202106,2023-05-07 13:30:09,success
11215,202107,2023-05-07 13:30:11,success
11215,202108,2023-05-07 13:30:12,success
11215,202109,2023-05-07 13:30:13,success
11215,202110,2023-05-07 13:30:14,success
11215,202111,2023-05-07 13:30:15,success
11215,202112,2023-05-07 13:30:17,success
11215,202201,2023-05-07 13:30:18,success
11215,202202,2023-05-07 13:30:19,success
11215,202203,2023-05-07 13:30:20,success
11215,202204,2023-05-07 13:30:21,success
11215,202205,2023-05-07 13:30:23,success
11215,202206,2023-05-07 13:30:24,success
11215,202207,2023-05-07 13:30:25,success
11215,202208,2023-05-07 13:30:27,success
11215,202209,2023-05-07 13:30:28,success
11215,202210,2023-05-07 13:30:29,success
11215,202211,2023-05-07 13:30:30,success
11215,202212,2023-05-07 13:30:31,success
11230,202001,2023-05-07 13:30:33,success
11230,202002,2023-05-07 13:30:34,success
11230,202003,2023-05-07 13:30:35,success
11230,202004,2023-05-07 13:30:36,success
11230,202005,2023-05-07 13:30:37,success
11230,202006,2023-05-07 13:30:39,success
11230,202007,2023-05-07 13:30:40,success
11230,202008,2023-05-07 13:30:41,success
11230,202009,2023-05-07 13:30:42,success
11230,202010,2023-05-07 13:30:43,success
11230,202011,2023-05-07 13:30:45,success
11230,202012,2023-05-07 13:30:46,success
11230,202101,2023-05-07 13:30:47,success
11230,202102,2023-05-07 13:30:49,success
11230,202103,2023-05-07 13:30:50,success
11230,202104,2023-05-07 13:30:51,success
11230,202105,2023-05-07 13:30:52,success
11230,202106,2023-05-07 13:30:53,success
11230,202107,2023-05-07 13:30:55,success
11230,202108,2023-05-07 13:30:56,success
11230,202109,2023-05-07 13:30:57,success
11230,202110,2023-05-07 13:30:58,success
11230,202111,2023-05-07 13:31:00,success
11230,202112,2023-05-07 13:31:01,success
11230,202201,2023-05-07 13:31:02,success
11230,202202,2023-05-07 13:31:03,success
11230,202203,2023-05-07 13:31:05,success
11230,202204,2023-05-07 13:31:06,success
11230,202205,2023-05-07 13:31:07,success
11230,202206,2023-05-07 13:31:08,success
11230,202207,2023-05-07 13:31:10,success
11230,202208,2023-05-07 13:31:11,success
11230,202209,2023-05-07 13:31:12,success
11230,202210,2023-05-07 13:31:13,success
11230,202211,2023-05-07 13:31:15,success
11230,202212,2023-05-07 13:31:16,success
11260,202001,2023-05-07 13:31:17,success
11260,202002,2023-05-07 13:31:18,success
11260,202003,2023-05-07 13:31:19,success
11260,202004,2023-05-07 13:31:21,success
11260,202005,2023-05-07 13:31:22,success
11260,202006,2023-05-07 13:31:23,success
11260,202007,2023-05-07 13:31:24,success
11260,202008,2023-05-07 13:31:26,success
11260,202009,2023-05-07 13:31:27,success
11260,202010,2023-05-07 13:31:28,success
11260,202011,2023-05-07 13:31:29,success
11260,202012,2023-05-07 13:31:30,success
11260,202101,2023-05-07 13:31:32,success
11260,202102,2023-05-07 13:31:33,success
11260,202103,2023-05-07 13:31:34,success
11260,202104,2023-05-07 13:31:35,success
11260,202105,2023-05-07 13:31:37,success
11260,202106,2023-05-07 13:31:38,success
11260,202107,2023-05-07 13:31:39,success
11260,202108,2023-05-07 13:31:40,success
11260,202109,2023-05-07 13:31:41,success
11260,202110,2023-05-07 13:31:43,success
11260,202111,2023-05-07 13:31:44,success
11260,202112,2023-05-07 13:31:45,success
11260,202201,2023-05-07 13:31:46,success
11260,202202,2023-05-07 13:31:47,success
11260,202203,2023-05-07 13:31:49,success
11260,202204,2023-05-07 13:31:50,success
11260,202205,2023-05-07 13:31:51,success
11260,202206,2023-05-07 13:31:52,success
11260,202207,2023-05-07 13:31:54,success
11260,202208,2023-05-07 13:31:55,success
11260,202209,2023-05-07 13:31:56,success
11260,202210,2023-05-07 13:31:57,success
11260,202211,2023-05-07 13:31:58,success
11260,202212,2023-05-07 13:32:00,success
11290,202001,2023-05-07 13:32:01,success
11290,202002,2023-05-07 13:32:02,success
11290,202003,2023-05-07 13:32:04,success
11290,202004,2023-05-07 13:32:05,success
11290,202005,2023-05-07 13:32:06,success
11290,202006,2023-05-07 13:32:07,success
11290,202007,2023-05-07 13:32:08,success
11290,202008,2023-05-07 13:32:10,success
11290,202009,2023-05-07 13:32:11,success
11290,202010,2023-05-07 13:32:12,success
11290,202011,2023-05-07 13:32:13,success
11290,202012,2023-05-07 13:32:14,success
11290,202101,2023-05-07 13:32:16,success
